model,all_conditions,unanimity_rate,pairwise_agreement,control_conditions,control_unanimity,control_pairwise_agreement
Claude Haiku 4.5,300,0.8733333333333333,0.9155555555555556,30,0.8666666666666667,0.9111111111111111
GPT-5.4,300,0.8433333333333334,0.8955555555555555,30,0.9,0.9333333333333333
Gemini 3.5 Flash,300,0.8633333333333333,0.9088888888888889,30,0.9333333333333333,0.9555555555555556
Llama 3.1 8B,300,0.9966666666666667,0.9977777777777778,30,1,1.0
Qwen3 32B,300,0.9866666666666667,0.9911111111111112,30,0.9666666666666667,0.9777777777777777
