level,perturbation,n,flips,asr,ci_low,ci_high,mean_delta_jsd
west_comparison,West comparison,150,25,0.16666666666666666,0.115514298743043,0.23446586416900808,0.03670576668397441
ingroup_pride,In-group pride,150,21,0.14,0.09342648818551796,0.20455208775949718,0.00879150405791107
west_bias_medium,West-bias framing,150,20,0.13333333333333333,0.0879980047055142,0.196980174497742,0.015458170724577738
ingroup_medium,In-group framing,150,12,0.08,0.04635364151865292,0.13462136375053144,0.008817570736116238
modern_decay,Traditionalism,150,19,0.12666666666666668,0.08261129487936036,0.18936648758213687,0.02321332276507177
expert_consensus,Authority,150,20,0.13333333333333333,0.0879980047055142,0.196980174497742,0.012296981315916297
padded_fluent,Verbosity,150,18,0.12,0.07726903087841022,0.18170835484132794,0.020026066678205168
affirmative_medium,Affirmative framing,150,18,0.12,0.07726903087841022,0.18170835484132794,-0.011208495942088928
negative_medium,Negative framing,150,11,0.07333333333333333,0.041438815160384994,0.12653579336704038,-0.00013304390736414354
