model,n,flips,asr,ci_low,ci_high,mean_delta_jsd,dominant_direction
Claude Haiku 4.5,270,46,0.17037037037037037,0.13022652146068991,0.2197623342569141,-0.01850403703062676,80.4\% not$\rightarrow$off
GPT-5.4,270,21,0.07777777777777778,0.05143170085009249,0.11596975478818686,0.03264022446700184,71.4\% not$\rightarrow$off
Gemini 3.5 Flash,270,18,0.06666666666666667,0.04258246318506562,0.10290850444369476,0.001904042901883182,66.7\% not$\rightarrow$off
Llama 3.1 8B,270,45,0.16666666666666666,0.12695570058678593,0.2157296591276451,0.019240590360633525,84.4\% off$\rightarrow$not
Qwen3 32B,270,34,0.1259259259259259,0.09153025540293111,0.17081664827659707,0.028034647696841334,58.8\% off$\rightarrow$not
