model,n,mean_signed_delta,mean_abs_delta,wilcoxon_p,wilcoxon_q_bh
Claude Haiku 4.5,270,-0.012407407407407423,0.05006172839506172,0.020818142503777805,0.026022678129722258
GPT-5.4,270,-0.009567901234567916,0.018061728395061722,2.2460539416570767e-08,1.1230269708285383e-07
Gemini 3.5 Flash,270,0.0009629629629629605,0.01911111111111111,0.8870487721101793,0.8870487721101792
Llama 3.1 8B,270,-0.01567901234567901,0.01864197530864197,2.317701554126238e-05,3.86283592354373e-05
Qwen3 32B,270,-0.01482716049382716,0.029148148148148145,2.949562988132696e-06,7.37390747033174e-06
