model,n,flips,asr,ci_low,ci_high,core_asr,difference_core_minus_neutral
Claude Haiku 4.5,30,4,0.13333333333333333,0.053096554840547455,0.296813266820363,0.17037037037037037,0.037037037037037035
GPT-5.4,30,2,0.06666666666666667,0.018477023791270378,0.2132345836261692,0.07777777777777778,0.011111111111111113
Gemini 3.5 Flash,30,1,0.03333333333333333,0.005908590381612455,0.16670390991409173,0.06666666666666667,0.03333333333333333
Llama 3.1 8B,30,0,0.0,0.0,0.11351339317396876,0.16666666666666666,0.16666666666666666
Qwen3 32B,30,2,0.06666666666666667,0.018477023791270378,0.2132345836261692,0.1259259259259259,0.05925925925925925
